index	 |	 c12	 c1t	 c1b	 c1tb	 c1e	 
273	 |	 -0.0397227	 0	 -0.0358717	 0	 0	 
274	 |	 -0.0268258	 0	 -0.0260335	 0	 -0.0095327	 
275	 |	 -0.0301611	 0	 -0.0264423	 0	 -0.0083294	 
276	 |	 -0.030993	 0	 -0.0366521	 0	 0	 
277	 |	 -0.0203878	 0	 -0.0280489	 0	 -0.00828402	 
278	 |	 -0.0228395	 0	 -0.028421	 0	 -0.00760127	 
279	 |	 -0.0243119	 0	 -0.0381237	 0	 0	 
280	 |	 -0.015466	 0	 -0.030491	 0	 -0.00715573	 
281	 |	 -0.0174967	 0	 -0.0308755	 0	 -0.00671803	 
282	 |	 -0.0183764	 0	 -0.0401371	 0	 0	 
283	 |	 -0.0121512	 0	 -0.032669	 0	 -0.00626906	 
284	 |	 -0.0135305	 0	 -0.0330845	 0	 -0.00625777	 
285	 |	 -0.0149576	 0	 -0.0414865	 0	 0	 
286	 |	 0	 0	 -0.0502843	 0	 0	 
287	 |	 0	 0	 -0.0508558	 0	 0	 
288	 |	 0	 0	 -0.0522622	 0	 0	 
289	 |	 -0.192994	 0	 -0.0199295	 0	 -0.00573399	 
290	 |	 -0.196304	 0	 -0.0203697	 0	 -0.00578121	 
291	 |	 -0.195828	 0	 -0.0271617	 0	 0	 
292	 |	 -0.129637	 0	 -0.0202477	 0	 -0.00567325	 
293	 |	 -0.131686	 0	 -0.0207006	 0	 -0.00573621	 
294	 |	 -0.132257	 0	 -0.027542	 0	 0	 
295	 |	 -0.120992	 0	 -0.0203474	 0	 -0.00574492	 
296	 |	 -0.121618	 0	 -0.0209281	 0	 -0.00578688	 
297	 |	 -0.123586	 0	 -0.0276095	 0	 0	 
298	 |	 -0.0788282	 0	 -0.0211742	 0	 -0.00573367	 
299	 |	 -0.0806749	 0	 -0.0216271	 0	 -0.00578883	 
300	 |	 -0.081583	 0	 -0.0284321	 0	 0	 
301	 |	 -0.0621757	 0	 -0.022003	 0	 -0.00570428	 
302	 |	 -0.0630109	 0	 -0.0225016	 0	 -0.00577701	 
303	 |	 -0.0640464	 0	 -0.0291287	 0	 0	 
304	 |	 -0.0519764	 0	 -0.0227652	 0	 -0.00587117	 
305	 |	 -0.0535826	 0	 -0.0233524	 0	 -0.00571982	 
306	 |	 -0.0543633	 0	 -0.0299113	 0	 0	 
307	 |	 -0.0458244	 0	 -0.0235568	 0	 -0.00564624	 
308	 |	 -0.0461418	 0	 -0.0240016	 0	 -0.0057801	 
309	 |	 -0.0477872	 0	 -0.0307703	 0	 0	 
310	 |	 -0.0366974	 0	 -0.025039	 0	 -0.00555788	 
311	 |	 -0.0375769	 0	 -0.0254691	 0	 -0.00561134	 
312	 |	 -0.0389494	 0	 -0.0322961	 0	 0	 
313	 |	 -0.0287034	 0	 -0.0270719	 0	 -0.00539577	 
314	 |	 -0.0294748	 0	 -0.0275955	 0	 -0.00548341	 
315	 |	 -0.0300504	 0	 -0.0338458	 0	 0	 
316	 |	 -0.0221613	 0	 -0.0295019	 0	 -0.00518762	 
317	 |	 -0.0227778	 0	 -0.0299674	 0	 -0.00540889	 
318	 |	 -0.0236176	 0	 -0.0365734	 0	 0	 
319	 |	 -0.0178089	 0	 -0.0316351	 0	 -0.0050154	 
320	 |	 -0.0185309	 0	 -0.0319598	 0	 -0.00522554	 
321	 |	 -0.018851	 0	 -0.0386243	 0	 0	 
322	 |	 0	 0	 -0.0506024	 0	 0	 
323	 |	 0	 0	 -0.0514938	 0	 0	 
324	 |	 0	 0	 -0.0523476	 0	 0	 
