index	 |	 c12	 c1t	 c1b	 c1tb	 c1e	 
64	 |	 -0.00376434	 -0.0162953	 -0.0150643	 -0.00769019	 -0.00024773	 
65	 |	 -0.00432682	 -0.0189649	 -0.0180936	 -0.00784905	 -9.516e-05	 
66	 |	 -0.00434217	 -0.0192821	 -0.0186257	 -0.00785013	 0	 
67	 |	 -0.00183622	 -0.0173048	 -0.0160294	 -0.0138456	 -9.536e-05	 
68	 |	 -0.00214123	 -0.0200471	 -0.0190469	 -0.0138914	 -5.075e-05	 
69	 |	 -0.00208251	 -0.0203195	 -0.0196238	 -0.013932	 0	 
70	 |	 0	 -0.0181726	 -0.0169542	 -0.189125	 0	 
71	 |	 0	 -0.021017	 -0.0201845	 -0.190371	 0	 
72	 |	 0	 -0.021316	 -0.0206231	 -0.189002	 0	 
73	 |	 -0.191522	 -0.00383855	 -0.00373069	 -1.357e-05	 -1.38e-06	 
74	 |	 -0.197152	 -0.00552395	 -0.00575872	 -4.244e-05	 -2.08e-06	 
75	 |	 -0.197075	 -0.00575155	 -0.00608461	 -0.00024509	 0	 
76	 |	 -0.116373	 -0.00436432	 -0.00422152	 -1.351e-05	 -2.15e-06	 
77	 |	 -0.121826	 -0.00612822	 -0.00627358	 -4.308e-05	 -1.63e-06	 
78	 |	 -0.122073	 -0.00632589	 -0.00662784	 -0.00024691	 0	 
79	 |	 -0.106723	 -0.00451356	 -0.00434261	 -1.334e-05	 -2.27e-06	 
80	 |	 -0.112008	 -0.00627171	 -0.00641149	 -4.334e-05	 -1.93e-06	 
81	 |	 -0.112444	 -0.00649503	 -0.00675628	 -0.00024744	 0	 
82	 |	 -0.0600936	 -0.0059198	 -0.00556937	 -1.996e-05	 -1.87e-06	 
83	 |	 -0.064102	 -0.00772289	 -0.0077279	 -5.811e-05	 -6.8e-07	 
84	 |	 -0.0639604	 -0.00793335	 -0.00800739	 -0.00025561	 0	 
85	 |	 -0.0416588	 -0.00730633	 -0.00675496	 -5.09e-05	 -9e-07	 
86	 |	 -0.0448483	 -0.00920718	 -0.00902916	 -0.00015212	 -1.72e-06	 
87	 |	 -0.0453133	 -0.00943101	 -0.00941047	 -0.00030355	 0	 
88	 |	 -0.0313569	 -0.00863457	 -0.00795088	 -0.00015317	 -1.42e-06	 
89	 |	 -0.0338511	 -0.0106377	 -0.0103006	 -0.00029305	 -5.5e-07	 
90	 |	 -0.0341303	 -0.0108667	 -0.0106847	 -0.00042354	 0	 
91	 |	 -0.0244984	 -0.00986018	 -0.00902025	 -0.00039313	 -1.26e-06	 
92	 |	 -0.0265888	 -0.0119819	 -0.0115026	 -0.00047263	 -1.78e-06	 
93	 |	 -0.0267233	 -0.0121931	 -0.0118902	 -0.00060807	 0	 
94	 |	 -0.0158065	 -0.0120132	 -0.0109853	 -0.00125125	 -1.02e-06	 
95	 |	 -0.0171956	 -0.0143063	 -0.013637	 -0.00135444	 -2.13e-06	 
96	 |	 -0.0173819	 -0.0145228	 -0.0140257	 -0.00158489	 0	 
97	 |	 -0.00879789	 -0.0143512	 -0.0131907	 -0.00365077	 -4.13e-06	 
98	 |	 -0.00957069	 -0.0169022	 -0.0160125	 -0.00370098	 -3.61e-06	 
99	 |	 -0.00956935	 -0.0171075	 -0.0164843	 -0.00376109	 0	 
100	 |	 -0.0041559	 -0.0163058	 -0.0150215	 -0.0085624	 6.5e-07	 
101	 |	 -0.00450232	 -0.0189267	 -0.018016	 -0.00867769	 -3.56e-06	 
102	 |	 -0.00459161	 -0.0191204	 -0.0185169	 -0.00874664	 0	 
103	 |	 -0.0019687	 -0.0173005	 -0.0160284	 -0.0148232	 -2.53e-06	 
104	 |	 -0.00214019	 -0.0200517	 -0.0191409	 -0.0148817	 -2.3e-06	 
105	 |	 -0.00213346	 -0.0202436	 -0.0196447	 -0.0149346	 0	 
106	 |	 0	 -0.0181658	 -0.0169643	 -0.205379	 0	 
107	 |	 0	 -0.0209026	 -0.0201467	 -0.205432	 0	 
108	 |	 0	 -0.0211064	 -0.0206137	 -0.205302	 0	 
109	 |	 -0.188975	 -0.00910323	 -0.00897175	 -1.92e-06	 -0.00945946	 
110	 |	 -0.193896	 -0.0108075	 -0.0112163	 -2.932e-05	 -0.00318196	 
111	 |	 -0.194596	 -0.0121155	 -0.012647	 -3.592e-05	 0	 
112	 |	 -0.113857	 -0.00963791	 -0.00947246	 -2.92e-06	 -0.00849919	 
113	 |	 -0.11955	 -0.0112924	 -0.011664	 -3.413e-05	 -0.00292908	 
114	 |	 -0.120202	 -0.0124711	 -0.0129517	 -4.249e-05	 0	 
115	 |	 -0.104412	 -0.00979385	 -0.00960072	 -3.54e-06	 -0.00826742	 
116	 |	 -0.109862	 -0.0114033	 -0.0117629	 -3.525e-05	 -0.00286933	 
117	 |	 -0.110562	 -0.0125773	 -0.013045	 -3.664e-05	 0	 
